Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Burundi,BDI,0.990079088,2.620102869,-1.13327942,-8.059037337,-5.475186243,-9.274598272,-9.109262848,-2.586922602,3.675804635,-2.298281891,-2.593683632,-0.238090712,1.664524825,-4.155083318,1.562404033,-2.294459325,2.046996795,0.104987386,1.456421292,0.455622978,1.756376353,0.748442779,1.198056673,1.687469876,1.021529748,-6.886405717,-3.708336062,-2.646941222,-1.567053463,
Belgium,BEL,2.830268111,1.455371753,1.119565693,-1.347999472,2.909318721,2.170550184,1.395084285,3.459752242,1.757760557,3.326252412,3.382610141,0.465406797,1.325266329,0.353404956,3.187302826,1.534231982,1.832277271,2.692101058,-0.009868929,-3.036486612,1.809794505,0.482485296,-0.38491734,-0.270512826,0.806174071,1.151758972,0.940196074,1.343234186,1.021233337,
Benin,BEN,5.507107214,0.764700702,-0.562599754,2.195190168,-1.415683604,2.609371547,1.094014901,2.580644359,0.93026303,2.277471448,2.747800216,2.19312213,1.508016469,0.346990897,1.337853336,-1.247442478,0.978319651,3.004329193,1.96969488,-0.505433089,-0.715273205,0.116058298,1.924720372,4.239708127,3.433712855,-0.695138395,1.133240634,2.966881509,3.975183596,
Burkina Faso,BFA,-3.211214443,6.188996861,-2.430523115,0.695587917,-1.410838938,2.852986637,7.987347789,3.398121007,4.341710112,4.415316468,-1.032642563,3.60861857,1.394565964,4.722707532,1.4641414,5.493463706,3.124181589,2.520313509,4.097485883,-0.107397986,2.239434997,3.466271475,3.309239817,2.684831408,1.282093646,0.885054448,2.890399929,3.273054539,3.499444399,
Bangladesh,BGD,3.086984024,1.106644289,3.114221223,2.465580527,1.690415604,2.901246047,2.319628112,2.306687056,3.014679513,2.574209027,3.257499679,3.113805084,1.960382474,2.941853266,3.553360233,4.965842913,5.244531351,5.753420689,4.806170346,3.878501409,4.390980367,5.25309563,5.298244958,4.794401642,4.856108324,5.368783423,5.950914578,6.142103948,6.737017522,
Bulgaria,BGR,-7.463207655,-7.534068891,-6.271263804,-0.691213532,2.164358774,3.319348969,1.22538637,-0.484814883,7.061021737,-7.893184039,5.284485354,5.856598353,8.262240877,5.9924829,7.241768715,7.933171408,7.689165792,8.136615286,6.768693063,-2.962963764,1.993279538,2.57051343,0.612051095,1.057909556,2.41800282,4.133514899,4.668314467,4.572306501,3.840315458,
Bahrain,BHR,1.312002572,8.21250103,3.971992306,10.10745847,-2.677217629,1.327763929,1.416876259,0.274508833,1.58517378,0.557402213,0.852625049,-2.34799431,-1.685473269,0.092825072,0.388650474,-0.354080908,-1.224708316,0.190678444,-1.258479541,-3.554679594,-0.356041927,-0.991630156,1.993303563,4.207166602,2.706112164,0.179468224,-0.443550176,-0.940563981,-3.10970607,
"Bahamas, The",BHS,-3.320656503,-5.938398218,-5.640766603,-1.557221962,1.362620477,2.76268898,2.831084269,0.861749758,3.549310201,5.881611076,2.755349588,1.076894829,1.021416586,-2.989196121,-0.940930891,1.496829479,0.604837246,-0.464585359,-4.112188026,-5.798725615,0.011727934,-0.684017478,1.950585287,-1.382542266,-1.081492119,0.080160348,-2.658526803,0.419527296,,
Bosnia and Herzegovina,BIH,,,,,,24.19062205,92.20155705,35.40952775,15.65364305,9.335995055,5.28001049,4.279462441,5.19146196,3.922985,6.043001588,8.726415158,5.414666045,5.929797779,5.665843216,-2.526767514,1.70151121,2.180467696,0.724500871,4.152907759,2.905468992,4.673703443,4.45830089,4.232893572,3.921874904,
Belarus,BLR,,-1.24845545,-9.794676413,-7.80756117,-11.59639581,-10.10994752,3.144020414,11.87348571,8.916745774,3.835822934,6.299636448,5.263892131,5.716082411,7.794917912,12.21261832,10.14976717,10.6755868,9.099459979,10.58130499,0.423651191,7.982069183,5.572385837,1.780361776,0.987444297,1.63497133,-3.982648864,-2.648709831,2.567482608,3.189813054,
Belize,BLZ,9.017270339,9.378547145,10.21643066,4.502117964,-1.856921508,-1.924836838,-1.752814328,-0.154487695,-0.163077165,4.799035836,9.214252098,1.825546531,2.189182179,6.468402024,1.968907935,-0.059091798,1.878831785,-1.49656617,0.60526286,-1.834970614,0.879869659,-0.242059957,0.573592985,-1.398684164,1.447247899,1.263488278,-2.602978122,-0.551942156,1.085338227,
Bermuda,BMU,-0.79846154,-3.035882649,0.66685303,2.457766243,-0.095697727,3.654762676,1.946948092,3.963723821,3.139627193,2.805723433,8.348323379,6.071369604,-2.116731459,2.736270805,1.655070593,1.018080926,4.94027207,2.267374058,0.929051522,-5.808003155,-1.324384803,-2.501103308,-5.178203827,-2.815614911,,,,,,
Bolivia,BOL,2.445059947,3.065381596,-0.475129472,2.10302011,2.509343516,2.542158718,2.25609057,2.862504921,2.962909853,-1.522826283,0.544926185,-0.235706734,0.579771055,0.83134905,2.298481738,2.574813306,2.97734206,2.781323569,4.3685374,1.649225543,2.42927786,3.510975031,3.453697676,5.127573478,3.843757228,3.282718711,2.732039942,2.696065296,2.752155942,
Brazil,BRA,-4.841871,-0.2584622,-2.151852029,2.93706716,3.627584918,2.74937515,0.596456353,1.790610798,-1.18436657,-1.009139625,2.911826443,0.013369738,1.709474389,-0.122936492,4.497077078,2.026307404,2.834754095,4.974704674,4.054409568,-1.081943896,6.524372804,3.026404568,1.014535214,2.108888405,-0.352479218,-4.351483989,-4.098702255,0.251410419,0.328069801,
